,Unnamed: 0,Unnamed: 0.1,ID,Title,Type,Number of Scanlation group,Awarded,Japanese publihsers,Oneshot,Scan start day,Scan latest day,Digitally published first by publisher,Simulus translate,Publish status,Completely scanlated,Artist,Publish year,Licensed,name of English publisher,English publishing status,Anime,Rating,Vote number,Action,Adult,Adventure,Comedy,Doujinshi,Drama,Ecchi,Fantasy,Gender Bender,Harem,Hentai,Historical,Horror,Josei,Lolicon,Martial Arts,Mature,Mecha,Mystery,Psychological,Romance,School Life,Sci-fi,Seinen,Shotacon,Shoujo,Shoujo Ai,Shounen,Shounen Ai,Slice of Life,Smut,Sports,Supernatural,Tragedy,Yaoi,Yuri
15,0,,60094,Renai Shigan,Manga,0,False,Harlequin,False,Pass,Pass,False,False,Complete,No,UESUGI Kanako,2010,Yes,"Harlequin K.K., SoftBank Creative",,False,Not rated,Not rated,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,,12179,Renai Shoukougun,Manga,1,False,Core Magazine,False,08/19/07,08/19/07,False,False,Complete,No,MIYAZAWA Yura,2007,Yes,Juné,1 Volume - Complete/Print,False,7.1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
17,0,,13261,Renai Sousa,Manga,2,False,Libre Shuppan,False,10/17/07,08/01/20,False,False,Ongoing,No,HASUKAWA Ai,2006,Yes,Juné,2 Volumes - Dropped/Print,False,8.4,117,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
18,0,,143350,Renai Therapy no Susume,Manga,0,False,Harlequin,False,Pass,Pass,False,False,Complete,No,UCHIDA Kazuna,2017,Yes,"Harlequin K.K., SoftBank Creative",,False,Not rated,Not rated,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,,52566,Renai Trap,Manga,0,False,Kasakura,False,Pass,Pass,False,False,Complete,No,MINAMOTO Ichimi,2010,Yes,Renta!,,False,Not rated,Not rated,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
20,0,,140284,Renai Walker,Manga,0,False,Kasakura,False,Pass,Pass,False,False,Complete,No,MOMOJIRI Sumomo,2013,Yes,Renta!,,False,Not rated,Not rated,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
21,0,,86600,Renaissance Eve,Manga,0,False,Square Enix,False,Pass,Pass,False,False,Complete,Yes,ITOU Shamu,2012,Yes,Yen Press,4 Vols - Complete,False,8,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
22,0,,23952,Renal Moral,Manga,0,False,Kousai Syobo,False,Pass,Pass,False,False,Complete,No,KOTOKI Rin,2008,Yes,DMP,,False,Not rated,Not rated,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
23,0,,133395,Renbo no Housoku,Manga,0,False,Gekichupa,True,Pass,Pass,False,False,Complete,No,"Asameshi, Mizuno Nasa",2014,Yes,Renta!,,False,Not rated,Not rated,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
24,0,,112879,Rengoku Kitan - S-kei Kishi to Inmitsu no Chikai,Manga,0,False,Cosmic Shuppan,False,Pass,Pass,False,False,Complete,No,SHICHIRI Kei,2014,Yes,Manga Reborn,complete digital,False,7.4,6,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
