,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,ID,Title,Type,Number of Scanlation group,Awarded,Japanese publihsers,Oneshot,Scan start day,Scan latest day,Digitally published first by publisher,Simulus translate,Publish status,Completely scanlated,Artist,Publish year,Licensed,name of English publisher,English publishing status,Anime,Rating,Vote number,Action,Adult,Adventure,Comedy,Doujinshi,Drama,Ecchi,Fantasy,Gender Bender,Harem,Hentai,Historical,Horror,Josei,Lolicon,Martial Arts,Mature,Mecha,Mystery,Psychological,Romance,School Life,Sci-fi,Seinen,Shotacon,Shoujo,Shoujo Ai,Shounen,Shounen Ai,Slice of Life,Smut,Sports,Supernatural,Tragedy,Yaoi,Yuri,Year published in English
43,901,8,0,,1409,Bakune Young,Manga,1,False,Shogakukan,False,07/26/05,07/28/05,False,False,Complete,Yes,MATSUNAGA Toyokazu,1995.0,Yes,Viz,3 Vols - Complete,False,6.9,69,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2001
44,905,12,0,,2247,Bamboo Blade,Manga,4,False,Square Enix,False,06/27/06,02/06/12,False,False,Complete,Yes,IGARASHI Aguri,2004.0,Yes,Yen Press,14 Vols - Complete,True,7.8,389,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2016
45,945,2,0,,189,Basilisk,Manga,3,True,Kodansha,False,10/24/04,01/28/06,False,False,Complete,Yes,SEGAWA Masaki,2003.0,Yes,"Del Rey, Kodansha USA, Tanoshimi","Defunct / 5 Vols - Complete, 5 Vols - Complete; digital",True,7.6,618,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,2014
46,949,6,0,,2250,Bastard!!,Manga,7,False,Shueisha,False,04/13/07,08/03/20,False,False,Ongoing,No,HAGIWARA Kazushi,1988.0,Yes,Viz,Canceled / 19 Vols,True,7.6,236,1,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2002
47,962,19,0,,61649,Battle Royale - Tenshitachi no Kokkyou,Manga,0,False,Akita Shoten,False,Pass,Pass,False,False,Complete,Yes,"OGUMA Youhei, OONISHI Mioko",2011.0,Yes,Viz,1 Vol - Complete,False,6.9,15,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2009
48,968,0,0,,55909,Beageruta,Manga,1,False,Kodansha,False,01/06/14,11/10/14,False,False,Ongoing,No,SAMURA Hiroaki,2011.0,Yes,Kodansha USA,"2 Vols - Ongoing, Omnibus format 2-in-1",False,8.1,28,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2015
49,987,19,0,,8875,Because Goodbyes Are Coming Soon,Manga,1,False,Kodansha,True,Unknown,Unknown,False,False,Complete,Yes,YUKIMURA Makoto,2004.0,Yes,Kodansha USA,Published together with Vinland Saga,False,7.3,230,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2014
50,1003,10,0,,6009,Benkei in New York,Manga,0,False,Shogakukan,False,Pass,Pass,False,False,Complete,Yes,TANIGUCHI Jiro,1995.0,Yes,Viz,OOP / 1 Vol - Complete,False,6.9,66,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2014
51,1006,13,0,,147844,Berserk of Gluttony,Manga,3,False,Micro Magazine,False,09/12/18,08/04/20,False,False,Ongoing,No,TAKINO Daisuke,2018.0,Yes,Seven Seas,February 2021,False,7.3,92,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2021
52,1044,1,0,,888,Biomega,Manga,4,False,"Kodansha, Shueisha",False,08/13/04,04/08/10,False,False,Complete,Yes,NIHEI Tsutomu,2004.0,Yes,Viz,6 Vols - Complete,False,7.8,371,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2010
