,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,ID,Title,Type,Number of Scanlation group,Awarded,Japanese publihsers,Oneshot,Scan start day,Scan latest day,Digitally published first by publisher,Simulus translate,Publish status,Completely scanlated,Artist,Publish year,Licensed,name of English publisher,English publishing status,Anime,Rating,Vote number,Action,Adult,Adventure,Comedy,Doujinshi,Drama,Ecchi,Fantasy,Gender Bender,Harem,Hentai,Historical,Horror,Josei,Lolicon,Martial Arts,Mature,Mecha,Mystery,Psychological,Romance,School Life,Sci-fi,Seinen,Shotacon,Shoujo,Shoujo Ai,Shounen,Shounen Ai,Slice of Life,Smut,Sports,Supernatural,Tragedy,Yaoi,Yuri
2462,15,0,,95162,Fukumenkei Noise,Manga,2,False,Hakusensha,False,03/11/15,04/28/18,False,False,Complete,Yes,FUKUYAMA Ryouko,2013,Yes,Viz,18 Vols - Complete,True,8,166,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2478,6,0,,144277,Fukushuu wo chikatta shironeko wa ryuuou no hiza no jou de damin wo musaboru,Manga,3,False,Kadokawa,False,05/07/18,03/19/20,False,False,Ongoing,No,Aki (あき),2017,Yes,Yen Press,November 2020,False,8.6,64,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2486,14,0,,3001,Full Moon ni Sasayaite,Manga,1,False,"Akita Shoten, Biblos, Kodansha",False,06/06/04,08/21/04,False,False,Complete,Yes,MATOH Sanami,1998,Yes,"Broccoli, Kodansha USA","Defunct / 2 Vols - Complete, 2 Vols - Complete",False,7.2,124,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2487,15,0,,38,Full Moon o Sagashite,Manga,8,False,Shueisha,False,Unknown,09/16/07,False,False,Complete,Yes,TANEMURA Arina,2001,Yes,Viz,7 Volumes - Complete,True,8.2,985,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
2490,18,0,,137169,Fumetsu no Anata e,Manga,1,True,Kodansha,False,01/24/17,08/05/20,False,False,Ongoing,No,OOIMA Yoshitoki,2016,Yes,Kodansha USA,12 Vols - Ongoing | Chapters simulpublished,False,8.7,244,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2493,21,0,,25982,Funbari no Uta,Manga,1,False,Shueisha,False,06/17/08,12/31/13,False,False,Complete,Yes,TAKEI Hiroyuki,2007,Yes,"Kodansha USA, Viz","included in new digital edition, included in the original printing of Shaman King",False,6.8,133,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
2515,18,0,,1118,Fushigi no Kuni no Miyuki-chan,Manga,1,False,Kadokawa,False,08/07/04,08/07/04,False,False,Complete,Yes,"APAPA Mokona, CLAMP",1995.0,Yes,"TokyoPop, Viz","Expired / 1 Vol - Complete, 1 Vol - Complete; digital",False,5.6,168,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2516,19,0,,1041,Fushigi Yuugi,Manga,4,False,Shogakukan,False,03/12/00,04/24/07,False,False,Complete,Yes,WATASE Yuu,1992.0,Yes,Viz,18 Volumes & 6 VIZBIG Volumes - Complete,True,7.2,603,0,0,1,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2517,20,0,,585,Fushigi Yuugi - Genbu Kaiden,Manga,5,False,Shogakukan,False,09/29/07,04/19/13,False,False,Complete,Yes,WATASE Yuu,2003.0,Yes,Viz,12 Volumes - Complete,False,8.5,502,0,0,1,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2518,21,0,,142521,Fushigi Yuugi: Byakko Senki,Manga,2,False,Shogakukan,False,09/07/17,05/22/18,False,False,Ongoing,No,WATASE Yuu,2017.0,Yes,Viz,1 Volume - Ongoing,False,8.8,10,1,0,1,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
