,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,ID,Title,Type,Number of Scanlation group,Awarded,Japanese publihsers,Oneshot,Scan start day,Scan latest day,Digitally published first by publisher,Simulus translate,Publish status,Completely scanlated,Artist,Publish year,Licensed,name of English publisher,English publishing status,Anime,Rating,Vote number,Action,Adult,Adventure,Comedy,Doujinshi,Drama,Ecchi,Fantasy,Gender Bender,Harem,Hentai,Historical,Horror,Josei,Lolicon,Martial Arts,Mature,Mecha,Mystery,Psychological,Romance,School Life,Sci-fi,Seinen,Shotacon,Shoujo,Shoujo Ai,Shounen,Shounen Ai,Slice of Life,Smut,Sports,Supernatural,Tragedy,Yaoi,Yuri,Year published in English
35,4294,9,0,,70575,Kakukaku Shikajika,Manga,1,True,Shueisha,False,11/14/13,04/20/15,False,False,Complete,Yes,HIGASHIMURA Akiko,2011.0,Yes,Seven Seas,5 Vols - Ongoing; print | digital,False,9.2,276,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2019
36,4448,13,0,,16211,Karneval,Manga,5,False,Ichijinsha,False,12/10/08,05/31/18,False,False,Ongoing,No,MIKANAGI Touya,2007.0,Yes,Yen Press,10 2-in-1 Omnibus Volumes - Ongoing,True,8.4,391,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2015
37,4496,11,0,,4411,Kaze Hikaru,Manga,7,True,Shogakukan,False,09/06/03,02/07/16,False,False,Ongoing,No,WATANABE Taeko,1997,Yes,Viz,27 Vols - Ongoing,False,8.5,258,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2005
38,4677,7,0,,596,Kimi wa Pet,Manga,6,True,Kodansha,False,10/02/03,12/11/08,False,False,Complete,Yes,OGAWA Yayoi,2000,Yes,"Kodansha USA, TokyoPop","14 Vols - Complete; digital, Expired / 14 Vols - Complete",False,8.6,1280,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2019
39,4970,0,0,,130945,Koi wa Tsuzuku yo doko made mo,Manga,2,False,Shogakukan,False,10/09/16,06/22/20,False,False,Complete,No,ENJOUJI Maki,2016,Yes,Viz,3 Vols - Ongoing,False,7.5,45,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2019
40,5215,20,0,,143123,Kuchiutsusu,Manga,0,False,Kodansha,False,Pass,Pass,False,False,Complete,No,AMASAWA Aki,2016,Yes,Kodansha USA,3 Vols - Complete; digital,False,7.8,4,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2019
41,5240,20,0,,38146,Kuragehime,Manga,3,True,Kodansha,False,11/09/10,Pass,False,True,Complete,Yes,HIGASHIMURA Akiko,2008,Yes,Kodansha Comics,9 Volumes - Complete,True,8.6,796,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2016
42,5340,20,0,,4889,Kyuuso wa Cheese no Yume o Miru,Manga,2,False,Shogakukan,False,10/15/06,10/04/09,False,False,Complete,Yes,MIZUSHIRO Setona,2006.0,Yes,Seven Seas,1 Vol - Complete,False,8.5,996,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2019
43,5532,6,0,,18901,Love Song (NISHI Keiko),Manga,0,False,Shogakukan,False,Pass,Pass,False,False,Complete,No,NISHI Keiko,1993,Yes,Viz,,False,7.5,4,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1998
44,5543,17,0,,138513,Love-Momi - Torokeru Esute,Manga,0,False,Kodansha,False,Pass,Pass,False,False,Complete,No,SUNAZUKA Toki,2016,Yes,Kodansha USA,4 Vols - Ongoing; digital,False,8.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
45,5546,20,0,,1565,Loveless,Manga,4,False,Ichijinsha,False,06/18/06,08/15/18,False,False,Unknown,No,KOUGA Yun,2002,Yes,"Kodansha, Viz","Digital, 13 Vols - Ongoing",True,8.2,684,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2020
