,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Name,Active or not,Release Frequency,Number of Release,Total Series,First Update,Lastest Update,Action,Adult,Adventure,Comedy,Doujinshi,Drama,Ecchi,Fantasy,Gender Bender,Harem,Hentai,Historical,Horror,Josei,Lolicon,Martial Arts,Mature,Mecha,Mystery,Psychological,Romance,School Life,Sci-fi,Seinen,Shotacon,Shoujo,Shoujo Ai,Shounen,Shounen Ai,Slice of Life,Smut,Sports,Supernatural,Tragedy,Yaoi,Yuri
2736,2747,22,0,Froglation,No,Inactive Group,0,0,no date,no date,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2737,2748,23,0,From Zero,Yes,Weekly,120,17,03/12/18,07/12/20,2,0,0,4,0,10,0,2,0,1,0,0,5,2,0,0,1,0,2,2,5,8,0,4,0,0,4,2,0,5,0,1,1,2,0,0
2738,2749,24,0,FRoP,No,Inactive Group,0,0,no date,no date,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2739,2750,0,0,Frost,No,Inactive Group,107,7,06/10/13,07/19/14,1,0,1,3,0,5,0,1,0,0,0,1,0,0,0,0,0,0,0,2,3,4,0,3,0,1,0,3,0,3,0,1,1,1,0,0
2740,2751,1,0,Frostoria,No,Inactive Group,44,39,03/23/11,12/27/15,0,1,0,4,31,8,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,1,0,12,1,0,0,0,2,12,0
2741,2752,2,0,frostwhisker,No,Inactive Group,1,1,03/11/12,03/11/12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2742,2753,3,0,FrostyCactus,No,Inactive Group,1,1,11/01/18,11/01/18,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2743,2754,4,0,Frozen Citrus Scanlations,No,Inactive Group,26,25,07/03/07,03/04/08,0,0,0,1,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,8,0,0,0,0,0,6,0
2744,2755,5,0,Frozen's Midnight Translations,Yes,Infrequently,1,1,05/01/20,05/01/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2745,2756,6,0,frozen_yoghurt,No,Inactive Group,3,3,12/13/06,02/15/07,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0
2746,2757,7,0,Frozensama,No,Inactive Group,40,8,06/26/16,12/16/17,6,0,6,6,0,3,3,8,0,3,0,0,0,0,0,2,0,0,1,0,3,2,0,1,0,0,0,3,0,1,0,0,4,0,0,0
2747,2758,8,0,FRtoENScanlation,Yes,Infrequently,14,1,03/06/18,07/14/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2748,2759,9,0,Fruit Scans,No,Inactive Group,1,1,08/03/17,08/03/17,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2749,2760,10,0,Fruity Explosive Translation,No,Inactive Group,137,2,08/10/04,06/07/08,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
2750,2761,11,0,FTM,No,Inactive Group,7,2,05/02/19,01/12/20,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2751,2762,12,0,FTP Scans,No,Inactive Group,2,2,04/14/09,04/14/09,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0
2752,2763,13,0,FTV Scanlations,No,Inactive Group,4,1,04/10/11,06/30/11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
